,ranking,name,year,runtime,genre,rating,summary,summary_length
0,1,Jai Bhim,2021.0,164 min,"['Crime', 'Drama']",9.4,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.",121
1,2,The Shawshank Redemption,1994.0,142 min,['Drama'],9.3,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",118
2,3,The Godfather,1972.0,175 min,"['Crime', 'Drama']",9.2,"The Godfather follows Vito Corleone, Don of the Corleone family, as he passes the mantel to his unwilling son, Michael.",119
3,4,The Dark Knight,2008.0,152 min,"['Action', 'Crime', 'Drama']",9.0,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",189
4,5,The Godfather: Part II,1974.0,202 min,"['Crime', 'Drama']",9.0,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",164
5,6,12 Angry Men,1957.0,96 min,"['Crime', 'Drama']",9.0,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,184
6,7,The Lord of the Rings: The Return of the King,2003.0,201 min,"['Action', 'Adventure', 'Drama']",8.9,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,146
7,8,Pulp Fiction,1994.0,154 min,"['Crime', 'Drama']",8.9,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",143
8,9,Schindler's List,1993.0,195 min,"['Biography', 'Drama', 'History']",8.9,"In German-occupied Poland during World War II, industrialist  gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",163
9,10,Inception,2010.0,148 min,"['Action', 'Adventure', 'Sci-Fi']",8.8,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",220
10,11,Spider-Man: No Way Home,2021.0,148 min,"['Action', 'Adventure', 'Fantasy']",8.8,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.",215
11,12,Fight Club,1999.0,139 min,['Drama'],8.8,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,118
12,13,The Lord of the Rings: The Fellowship of the Ring,2001.0,178 min,"['Action', 'Adventure', 'Drama']",8.8,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,152
13,14,Forrest Gump,1994.0,142 min,"['Drama', 'Romance']",8.8,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",238
14,15,"The Good, the Bad and the Ugly",1966.0,178 min,"['Adventure', 'Western']",8.8,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,138
15,16,The Lord of the Rings: The Two Towers,2002.0,179 min,"['Action', 'Adventure', 'Drama']",8.7,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",178
16,17,The Matrix,1999.0,136 min,"['Action', 'Sci-Fi']",8.7,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",188
17,18,Goodfellas,1990.0,146 min,"['Biography', 'Crime', 'Drama']",8.7,"The story of  and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",181
18,19,Star Wars: Episode V - The Empire Strikes Back,1980.0,124 min,"['Action', 'Adventure', 'Fantasy']",8.7,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.",218
